Flow,O,D,Year
20,23,9,2008
187,36,21,2006
88,38,41,2018
173,18,46,2017
6,32,45,2008
148,43,30,2005
725,10,17,2014
24,47,30,2012
65,46,14,2006
831,38,16,2013
511,20,7,2015
68,36,43,2012
186,26,24,2010
173,12,17,2017
2793,35,2,2010
206,20,8,2016
234,26,36,2007
106,2,49,2011
176,11,43,2008
1247,2,15,2007
975,42,15,2013
125,28,49,2006
510,40,32,2012
1199,40,16,2009
3,47,39,2005
178,35,38,2017
180,16,7,2009
846,48,21,2009
331,31,32,2015
11,34,35,2013
312,44,18,2006
67,31,38,2015
23,1,24,2011
2093,33,10,2007
1401,7,15,2015
845,15,10,2018
160,31,7,2018
1782,18,32,2007
319,7,37,2006
232,28,8,2011
119,5,46,2007
9,48,49,2005
153,10,3,2016
58,17,5,2016
9534,45,48,2007
737,35,27,2012
396,39,35,2005
972,19,42,2005
843,30,31,2010
106,47,35,2017
98,31,47,2018
170,39,31,2006
516,47,20,2010
467,15,4,2008
1568,19,10,2010
383,17,32,2008
285,13,23,2014
75,5,49,2005
1015,34,18,2012
3273,1,23,2007
2649,29,16,2006
635,23,32,2017
14,47,40,2014
236,22,7,2016
1286,37,5,2011
2663,46,3,2008
413,4,6,2014
372,13,46,2011
282,4,44,2005
161,25,7,2010
59,34,45,2007
864,20,3,2012
573,12,25,2005
5584,32,2,2015
1378,18,16,2006
117,7,21,2005
632,27,4,2011
440,18,42,2013
435,20,4,2017
260,40,37,2005
189,22,26,2007
250,48,42,2018
689,24,10,2006
1151,31,16,2013
20,2,14,2017
7,42,14,2011
241,30,41,2009
16,10,30,2013
45,16,40,2010
1907,14,30,2006
337,26,25,2007
142,19,20,2011
475,20,41,2018
21,7,9,2018
179,44,43,2009
383,17,42,2006
924,34,28,2010
59,20,33,2016
307,44,10,2016
303,29,26,2008
27,39,38,2016
302,20,17,2018
5753,9,22,2006
91,46,27,2008
172,48,22,2010
17,31,33,2012
2268,44,34,2016
49,2,33,2010
100,19,17,2006
465,39,28,2014
191,18,26,2012
476,36,32,2014
1251,27,10,2009
38,15,35,2007
6,36,14,2009
153,3,11,2012
332,2,5,2006
251,12,37,2009
2055,25,19,2017
274,24,2,2017
765,43,47,2007
215,5,7,2017
2,19,14,2014
120,30,35,2007
502,47,23,2013
1055,42,7,2017
422,46,47,2018
74,5,22,2015
470,26,19,2009
15,17,39,2015
319,36,47,2017
26,3,49,2006
93,48,46,2005
41,43,36,2015
533,21,31,2009
1147,34,44,2013
1923,22,15,2007
171,23,38,2009
452,38,40,2018
191,9,3,2015
329,44,13,2007
467,15,42,2011
363,36,21,2015
100,6,13,2016
344,26,18,2007
744,48,28,2008
2905,4,37,2015
251,36,23,2018
56,43,38,2011
62,43,30,2010
119,12,26,2006
57,33,17,2008
320,19,7,2008
299,7,20,2012
49,36,43,2005
359,9,42,2010
115,23,45,2012
173,26,36,2014
121,32,5,2017
1227,2,15,2016
1236,42,15,2006
227,30,46,2014
